dataset_id,measure_id,from_year,to_year
35,7,2019,2026
35,8,2019,2026
35,9,2019,2026
35,10,2019,2026
35,11,2019,2026
35,12,2019,2026
35,13,2019,2026
35,14,2019,2026
35,15,2019,2026
35,16,2019,2026
35,17,2019,2026
35,18,2019,2026
35,19,2019,2026
35,20,2019,2026
35,21,2019,2026
36,7,2019,2026
36,8,2019,2026
36,9,2019,2026
36,10,2019,2026
36,11,2019,2026
36,12,2019,2026
36,13,2019,2026
36,14,2019,2026
36,15,2019,2026
36,16,2019,2026
36,17,2019,2026
36,18,2019,2026
36,19,2019,2026
36,20,2019,2026
36,21,2019,2026
33,23,2019,2026
33,42,2019,2026
33,55,2019,2026
33,64,2019,2026
33,72,2019,2026
33,87,2019,2026
33,95,2019,2026
33,106,2019,2026
40,23,2019,2026
40,42,2019,2026
40,55,2019,2026
40,64,2019,2026
40,72,2019,2026
40,87,2019,2026
40,95,2019,2026
40,106,2019,2026
39,23,2019,2026
39,42,2019,2026
39,55,2019,2026
39,64,2019,2026
39,72,2019,2026
39,87,2019,2026
39,95,2019,2026
39,106,2019,2026
34,22,2019,2026
34,23,2019,2026
34,24,2019,2026
34,25,2019,2026
34,26,2019,2026
34,27,2019,2026
34,28,2019,2026
34,29,2019,2026
34,30,2019,2026
34,31,2019,2026
34,32,2019,2026
34,33,2019,2026
34,34,2019,2026
34,35,2019,2026
34,36,2019,2026
34,37,2019,2026
34,38,2019,2026
34,39,2019,2026
34,40,2019,2026
34,41,2019,2026
34,42,2019,2026
34,43,2019,2026
34,44,2019,2026
34,45,2019,2026
34,46,2019,2026
34,47,2019,2026
34,48,2019,2026
34,49,2019,2026
34,50,2019,2026
34,51,2019,2026
34,52,2019,2026
34,53,2019,2026
34,54,2019,2026
34,55,2019,2026
34,56,2019,2026
34,57,2019,2026
34,58,2019,2026
34,59,2019,2026
34,60,2019,2026
34,61,2019,2026
34,62,2019,2026
34,63,2019,2026
34,64,2019,2026
34,65,2019,2026
34,66,2019,2026
34,67,2019,2026
34,68,2019,2026
34,69,2019,2026
34,70,2019,2026
34,71,2019,2026
34,72,2019,2026
34,73,2019,2026
34,74,2019,2026
34,75,2019,2026
34,76,2019,2026
34,77,2019,2026
34,78,2019,2026
34,79,2019,2026
34,80,2019,2026
34,81,2019,2026
34,82,2019,2026
34,83,2019,2026
34,84,2019,2026
34,85,2019,2026
34,86,2019,2026
34,87,2019,2026
34,88,2019,2026
34,89,2019,2026
34,90,2019,2026
34,91,2019,2026
34,92,2019,2026
34,93,2019,2026
34,94,2019,2026
34,95,2019,2026
34,96,2019,2026
34,97,2019,2026
34,98,2019,2026
34,99,2019,2026
34,100,2019,2026
34,101,2019,2026
34,102,2019,2026
34,103,2019,2026
34,104,2019,2026
34,105,2019,2026
34,106,2019,2026
34,107,2019,2026
34,108,2019,2026
34,109,2019,2026
34,110,2019,2026
34,111,2019,2026
34,112,2019,2026
34,113,2019,2026
34,114,2019,2026
34,115,2019,2026
34,116,2019,2026
34,117,2019,2026
30,23,2019,2026
30,42,2019,2026
30,55,2019,2026
30,64,2019,2026
30,72,2019,2026
30,87,2019,2026
30,95,2019,2026
30,106,2019,2026
31,23,2019,2026
31,42,2019,2026
31,55,2019,2026
31,64,2019,2026
31,72,2019,2026
31,87,2019,2026
31,95,2019,2026
31,106,2019,2026
32,23,2019,2026
32,42,2019,2026
32,55,2019,2026
32,64,2019,2026
32,72,2019,2026
32,87,2019,2026
32,95,2019,2026
32,106,2019,2026
28,2,2014,2026
28,3,2014,2026
28,4,2014,2026
38,2,2014,2026
38,3,2014,2026
38,4,2014,2026
37,2,2014,2026
37,3,2014,2026
37,4,2014,2026
29,-1,2017,2026
25,2,2014,2026
25,3,2014,2026
25,4,2014,2026
26,2,2014,2026
26,3,2014,2026
26,4,2014,2026
27,2,2014,2026
27,3,2014,2026
27,4,2014,2026
46,22,2019,2026
46,23,2019,2026
46,24,2019,2026
46,25,2019,2026
46,26,2019,2026
46,27,2019,2026
46,28,2019,2026
